Time Created: 11/10/2020 7:51:01 PM
-----New Entry: 11/10/2020 7:51:01 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01




Test 1: corners with velocity 

Entry,Acc,AvgDistance,Velocity

200:,0.000,0.189,(0.0, 0.0, 0.0)
0:,0.500,11.812,(0.0, 0.0, 0.0)
20:,0.000,0.223,(-2.6, 0.0, -0.1)
40:,0.000,0.425,(-5.2, 0.0, -0.1)
60:,0.000,0.716,(-7.5, 0.0, -0.2)
80:,0.000,0.946,(-7.5, 0.0, -0.2)
100:,0.000,1.028,(-7.5, 0.0, -0.2)
120:,0.000,1.061,(-7.5, 0.0, -0.1)
140:,0.000,1.033,(-7.5, 0.0, -0.1)
160:,0.000,0.949,(-7.5, 0.0, 0.0)
180:,0.000,0.849,(-7.6, 0.0, 0.0)
200:,0.000,0.320,(0.0, 0.0, 0.1)
0:,0.000,0.755,(0.0, 0.0, 0.1)
20:,0.000,0.190,(0.0, 0.0, 0.0)
40:,0.000,0.190,(0.0, 0.0, 0.0)
60:,0.000,0.190,(0.0, 0.0, -0.7)
80:,0.000,0.276,(0.1, 0.0, -3.5)
100:,0.000,0.517,(0.2, 0.0, -6.0)
120:,0.000,0.815,(0.2, 0.0, -7.6)
140:,0.000,0.975,(0.2, 0.0, -7.6)
160:,0.000,1.044,(0.2, 0.0, -7.5)
180:,0.000,1.057,(0.2, 0.0, -7.5)
200:,0.000,1.009,(0.2, 0.0, -7.5)
0:,0.000,0.626,(0.2, 0.0, -7.5)
20:,0.000,0.922,(0.1, 0.0, -7.5)
40:,0.000,0.757,(0.1, 0.0, 0.0)
60:,0.000,0.190,(0.0, 0.0, 0.0)
80:,0.000,0.186,(0.0, 0.0, 0.0)
100:,0.000,0.186,(0.0, 0.0, 0.0)
120:,0.000,0.186,(0.0, 0.0, 0.0)
140:,0.000,0.202,(2.0, 0.0, 0.0)
160:,0.000,0.376,(4.7, 0.0, 0.1)
180:,0.000,0.657,(7.1, 0.0, 0.2)
200:,0.000,0.924,(7.5, 0.0, 0.2)
0:,0.000,0.459,(7.5, 0.0, 0.2)
20:,0.000,1.019,(7.5, 0.0, 0.2)
40:,0.000,1.060,(7.5, 0.0, 0.2)
60:,0.000,1.038,(7.5, 0.0, 0.2)
80:,0.000,0.966,(7.5, 0.0, 0.2)
100:,0.000,0.874,(7.5, 0.0, 0.2)
120:,0.000,0.410,(0.0, 0.0, 0.0)
140:,0.000,0.187,(0.0, 0.0, 0.0)
160:,0.000,0.187,(0.0, 0.0, 0.0)
180:,0.000,0.187,(0.0, 0.0, 0.0)
-----New Entry: 11/10/2020 7:54:05 PM-----

******************* Parameters *******************
predictVelocity: False
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01




Test 1: random fly 3d space no velocity 

Entry,Acc,AvgDistance,Velocity

20:,0.000,10.228,(0.0, 0.0, 0.0)
40:,0.000,9.972,(1.2, 0.0, 2.0)
60:,0.000,8.027,(2.5, 0.0, 4.3)
80:,0.000,5.490,(2.7, 0.0, 6.5)
100:,0.000,5.450,(0.2, 0.0, 7.6)
120:,20.000,0.611,(-2.4, 0.0, 7.1)
140:,95.000,0.598,(-3.1, 0.0, 3.8)
160:,100.000,0.471,(-3.3, 1.2, 0.6)
180:,100.000,0.493,(-3.5, 3.9, -2.3)
200:,100.000,0.670,(-3.5, 5.8, -4.3)
0:,41.500,4.201,(-3.5, 5.8, -4.3)
20:,15.000,0.957,(-3.7, 2.9, -6.7)
40:,0.000,1.489,(-3.4, -0.2, -8.8)
60:,0.000,1.753,(-1.3, -3.0, -10.0)
80:,0.000,1.392,(1.4, -5.6, -7.9)
100:,0.000,1.025,(3.6, -5.0, -5.5)
120:,0.000,0.864,(5.0, 0.0, -2.9)
140:,0.000,0.782,(5.7, 2.6, 0.0)
160:,0.000,0.836,(6.4, 5.2, 2.6)
180:,0.000,1.004,(5.7, 5.0, 5.1)
200:,0.000,1.149,(4.4, 1.9, 7.3)
0:,1.500,1.125,(4.4, 1.9, 7.3)
20:,0.000,1.470,(3.3, -1.1, 9.4)
40:,0.000,1.737,(1.8, -3.3, 10.3)
60:,0.000,1.512,(-1.1, -5.8, 9.1)
80:,0.000,1.197,(-3.6, -7.1, 7.0)
100:,85.000,0.228,(-2.4, 0.9, -0.8)
120:,100.000,0.326,(-5.0, 0.8, -1.3)
140:,75.000,0.660,(-7.3, 0.8, -1.6)
160:,0.000,1.008,(-8.0, 1.1, -3.2)
180:,0.000,1.244,(-7.5, 2.6, -5.7)
200:,0.000,1.299,(-4.8, 2.3, -7.1)
0:,26.000,1.068,(-4.8, 2.3, -7.1)
20:,0.000,1.238,(-2.3, 0.2, -8.4)
40:,0.000,1.229,(0.5, -2.7, -8.6)
60:,0.000,1.158,(3.3, -5.2, -7.4)
80:,0.000,1.065,(3.7, 0.0, -5.7)
100:,0.000,0.606,(0.7, 0.0, -0.1)
120:,100.000,0.121,(0.0, 0.0, 0.0)
140:,100.000,0.111,(0.0, 0.0, 0.0)
160:,100.000,0.111,(0.0, 0.0, 0.0)
180:,100.000,0.111,(0.0, 0.0, 0.0)
-----New Entry: 11/10/2020 7:55:04 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01




Test 1: random fly 3d space with velocity 

Entry,Acc,AvgDistance,Velocity

20:,0.000,10.228,(0.0, 0.0, 0.0)
40:,0.000,10.082,(1.5, 0.0, 1.5)
60:,0.000,8.636,(2.7, 0.0, 3.9)
80:,0.000,6.335,(2.3, 0.0, 6.3)
100:,0.000,6.515,(1.2, 0.0, 8.4)
120:,50.000,0.725,(-1.2, 0.0, 9.1)
140:,65.000,0.019,(-3.7, 2.3, 7.3)
160:,0.000,0.066,(-5.6, 3.3, 5.1)
180:,0.000,0.094,(-5.8, 4.9, -2.6)
200:,0.000,0.093,(-6.0, 4.7, -5.1)
0:,11.500,4.279,(-6.0, 4.7, -5.1)
20:,0.000,0.104,(-6.2, 1.4, -7.4)
40:,0.000,0.104,(-5.2, -1.6, -9.3)
60:,0.000,0.104,(-2.3, -4.3, -9.4)
80:,0.000,0.102,(0.8, -6.6, -8.0)
100:,0.000,0.089,(3.5, -3.7, -6.7)
120:,55.000,0.091,(6.0, -0.5, -5.6)
140:,0.000,0.096,(8.0, 1.0, -4.2)
160:,0.000,0.106,(7.2, 0.4, 0.8)
180:,0.000,0.094,(5.4, 0.2, -0.2)
200:,85.000,0.092,(5.4, 0.0, 0.9)
0:,14.000,0.098,(5.4, 0.0, 0.9)
20:,90.000,0.091,(3.9, 0.0, -1.5)
40:,100.000,0.108,(1.6, 0.0, 0.5)
60:,45.000,0.101,(0.4, 2.4, 3.1)
80:,0.000,0.078,(-0.3, 5.1, 5.6)
100:,0.000,0.059,(-0.7, 3.7, 7.3)
120:,15.000,0.051,(-1.1, 0.5, 9.4)
140:,95.000,0.060,(-3.0, -2.4, 10.5)
160:,0.000,0.034,(-5.5, -5.0, 9.5)
180:,0.000,0.039,(-7.0, -4.8, 7.1)
200:,25.000,0.034,(-7.8, -1.5, 4.0)
0:,37.000,0.065,(-7.8, -1.5, 4.0)
20:,80.000,0.087,(-7.4, -0.2, 0.9)
40:,0.000,0.120,(-6.3, 2.7, -2.0)
60:,0.000,0.145,(-4.1, 3.7, -4.1)
80:,0.000,0.168,(1.0, 1.2, -3.8)
100:,0.000,0.142,(-1.0, -0.1, -4.9)
120:,50.000,0.133,(1.7, 0.0, -2.5)
140:,100.000,0.102,(1.1, -0.3, -5.1)
160:,100.000,0.085,(1.9, -3.1, -7.1)
